Booking_ID,booking_status
INN04969,0.0
INN34541,0.0
INN36109,0.0
INN01554,1.0
INN24975,0.0
INN27080,0.0
INN29146,1.0
INN05926,1.0
INN17356,1.0
INN25284,1.0
INN28043,0.0
INN00264,1.0
INN36020,0.0
INN05558,1.0
INN07365,1.0
INN35759,1.0
INN24606,0.0
INN14613,0.0
INN00927,1.0
INN03156,0.0
INN18684,1.0
INN24976,0.0
INN02773,0.0
INN09126,1.0
INN23806,0.0
INN05911,1.0
INN10744,0.0
INN18155,0.0
INN01732,0.0
INN28020,0.0
INN11177,0.0
INN24767,0.0
INN24168,1.0
INN17657,0.0
INN19937,1.0
INN10005,0.0
INN19470,0.0
INN03227,1.0
INN20723,1.0
INN32020,0.0
INN04254,0.0
INN06188,1.0
INN19814,1.0
INN26451,1.0
INN07030,0.0
INN34873,1.0
INN27817,0.0
INN32177,1.0
INN05866,1.0
INN12355,0.0
INN27652,0.0
INN27153,0.0
INN35279,1.0
INN16005,0.0
INN12990,0.0
INN24073,0.0
INN33637,1.0
INN13485,1.0
INN16436,1.0
INN34987,1.0
INN14263,0.0
INN35353,0.0
INN00269,0.0
INN32425,1.0
INN27275,0.0
INN35034,1.0
INN34452,1.0
INN35113,0.0
INN34588,0.0
INN07616,1.0
INN26088,1.0
INN09286,1.0
INN32284,0.0
INN13788,0.0
INN03704,1.0
INN21855,0.0
INN16700,1.0
INN30579,0.0
INN07578,1.0
INN05758,0.0
INN31672,0.0
INN00084,1.0
INN15712,1.0
INN21926,0.0
INN22391,1.0
INN34753,0.0
INN10927,0.0
INN07802,0.0
INN06082,1.0
INN05187,0.0
INN10952,1.0
INN16320,0.0
INN18055,1.0
INN02266,1.0
INN33046,1.0
INN33753,1.0
INN35475,1.0
INN14908,1.0
INN35795,0.0
INN35668,1.0
INN19700,1.0
INN35228,1.0
INN12325,0.0
INN13499,0.0
INN22534,1.0
INN31212,0.0
INN33520,1.0
INN15795,0.0
INN12712,1.0
INN07104,1.0
INN27400,1.0
INN31525,1.0
INN18168,0.0
INN23731,1.0
INN13833,1.0
INN28228,0.0
INN24517,0.0
INN15483,1.0
INN20700,1.0
INN02650,1.0
INN13261,0.0
INN30788,0.0
INN15499,0.0
INN02562,1.0
INN29761,0.0
INN35910,1.0
INN15337,1.0
INN00071,1.0
INN10545,0.0
INN16346,0.0
INN08566,1.0
INN12010,1.0
INN24714,0.0
INN04916,1.0
INN30066,1.0
INN29665,0.0
INN31774,1.0
INN13827,0.0
INN00466,1.0
INN16884,1.0
INN06217,0.0
INN18504,1.0
INN05180,1.0
INN08039,1.0
INN00313,0.0
INN04700,0.0
INN16731,0.0
INN06066,1.0
INN05573,1.0
INN11238,1.0
INN14218,0.0
INN26488,1.0
INN26079,1.0
INN35612,1.0
INN31168,1.0
INN13144,1.0
INN02792,0.0
INN34087,1.0
INN29578,1.0
INN23190,0.0
INN01158,0.0
INN02555,1.0
INN21625,1.0
INN28268,1.0
INN21241,1.0
INN19859,0.0
INN01683,1.0
INN09949,1.0
INN09808,1.0
INN29709,1.0
INN03894,1.0
INN05839,1.0
INN03029,0.0
INN18224,1.0
INN03980,1.0
INN13731,1.0
INN22867,1.0
INN20326,0.0
INN02970,1.0
INN11661,0.0
INN26818,1.0
INN26174,0.0
INN14495,0.0
INN35656,1.0
INN29208,1.0
INN06268,1.0
INN10870,0.0
INN15640,0.0
INN34774,0.0
INN17039,0.0
INN24361,1.0
INN11077,1.0
INN30989,1.0
INN16314,0.0
INN16829,0.0
INN28490,0.0
INN08181,1.0
INN12627,0.0
INN10390,1.0
INN07340,1.0
INN23221,0.0
INN24006,0.0
INN06869,1.0
INN29356,0.0
INN23147,0.0
INN14364,0.0
INN31585,1.0
INN20551,1.0
INN13609,0.0
INN00274,0.0
INN33001,1.0
INN09998,1.0
INN10313,1.0
INN29439,1.0
INN00472,0.0
INN21407,0.0
INN08669,1.0
INN29849,0.0
INN29382,0.0
INN34473,1.0
INN26219,1.0
INN05708,1.0
INN13039,0.0
